,Community District,Latitude,Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
22,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Aaron Davis Hall,40.8179077235451,-73.95132774422379,College Theater
23,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Seafood Restaurant,40.81405258178711,-73.95603942871094,Seafood Restaurant
24,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Starbucks,40.81507408334908,-73.95893045497931,Coffee Shop
25,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Dunkin',40.821177008059045,-73.95476289882367,Donut Shop
26,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Chase Bank,40.820851776503915,-73.95509947915058,Bank
27,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Montefiore Park,40.82186075941459,-73.95353184024275,Park
28,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Starbucks,40.81992301549787,-73.9501539067642,Coffee Shop
29,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,T-Mobile,40.8221754,-73.9532454,Mobile Phone Shop
30,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Duane Reade,40.8217697,-73.9542272,Pharmacy
31,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Columbian Bakery,40.820429759316724,-73.95448013535928,Bakery
32,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Crown Fried Chicken,40.82057178763696,-73.95489746633861,Fried Chicken Joint
33,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Chinelos Dos,40.82060297034444,-73.95386595483691,Mexican Restaurant
34,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Good Taste,40.82121613945048,-73.95449878767525,Chinese Restaurant
35,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Broadway 137th Street Chinese Restaurant,40.821176756059025,-73.95408981525348,Chinese Restaurant
36,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Food Universe,40.82204900498593,-73.95343496592334,Supermarket
37,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,Dear Mama Coffee,40.817333,-73.959494,Coffee Shop
38,Morningside Heights and Hamilton Heights,40.81804950223066,-73.9550299466107,MTA MaBSTOA Bus at W. 125th Street & 12th Ave (West Harlem Piers Terminal): (Bx15),40.81749014576338,-73.95994453399868,Bus Station
39,Central Harlem,40.813687885821395,-73.94473613315995,Bill's Place,40.813366394224474,-73.94370055778845,Jazz Club
40,Central Harlem,40.813687885821395,-73.94473613315995,Harlem Hops,40.81433621878843,-73.94449400480289,Beer Bar
41,Central Harlem,40.813687885821395,-73.94473613315995,Yatenga,40.81430599659326,-73.94442992027335,French Restaurant
42,Central Harlem,40.813687885821395,-73.94473613315995,Shrine World Music Venue,40.81440254987884,-73.94424198638346,Music Venue
43,Central Harlem,40.813687885821395,-73.94473613315995,Harlem YMCA,40.81479,-73.94291,Gym / Fitness Center
44,Central Harlem,40.813687885821395,-73.94473613315995,Renaissance Harlem,40.81341373965783,-73.94498356642218,French Restaurant
45,Central Harlem,40.813687885821395,-73.94473613315995,ACP Coffee,40.81500815234818,-73.9443029482927,Café
46,Central Harlem,40.813687885821395,-73.94473613315995,NYPL Schomburg Center for Research in Black Culture,40.81457529607425,-73.94092798233032,Library
47,Central Harlem,40.813687885821395,-73.94473613315995,Pompette,40.81144045262374,-73.94233231124049,Wine Shop
48,Central Harlem,40.813687885821395,-73.94473613315995,La masion d'Art,40.814253457025245,-73.94680695927478,Art Gallery
49,Central Harlem,40.813687885821395,-73.94473613315995,Rejuvenate,40.81387169664626,-73.94414206437838,Juice Bar
50,Central Harlem,40.813687885821395,-73.94473613315995,Revolution Books,40.81208041342418,-73.94237549083205,Bookstore
51,Central Harlem,40.813687885821395,-73.94473613315995,Abyssinia Restaurant,40.816308056963194,-73.9460538576632,Ethiopian Restaurant
52,Central Harlem,40.813687885821395,-73.94473613315995,Keur Sokhna,40.81355599557865,-73.94500077822643,African Restaurant
53,Central Harlem,40.813687885821395,-73.94473613315995,Acts III bagels,40.81588683126391,-73.94505096884126,Bagel Shop
54,Central Harlem,40.813687885821395,-73.94473613315995,Charles' Pan Fried Chicken,40.814537201540006,-73.9480964550787,Fried Chicken Joint
55,Central Harlem,40.813687885821395,-73.94473613315995,LightHouse Fish Market & Restaurant,40.8142671706303,-73.94815310035384,Seafood Restaurant
56,Central Harlem,40.813687885821395,-73.94473613315995,Jacob Restaurant,40.81021885366071,-73.94375470546755,Southern / Soul Food Restaurant
57,Central Harlem,40.813687885821395,-73.94473613315995,Vault,40.81554308153618,-73.94730305055354,Boutique
58,Central Harlem,40.813687885821395,-73.94473613315995,Belle Harlem,40.81689,-73.94268,American Restaurant
59,Central Harlem,40.813687885821395,-73.94473613315995,Lorraine's Place,40.813479300047945,-73.94501010617324,Bar
60,Central Harlem,40.813687885821395,-73.94473613315995,88 Chinese Restaurant,40.81318684305849,-73.94146699347901,Chinese Restaurant
61,Central Harlem,40.813687885821395,-73.94473613315995,Harlem Cycle,40.817201307497854,-73.94259246278489,Cycle Studio
62,Central Harlem,40.813687885821395,-73.94473613315995,Lenox Coffee,40.81016115081859,-73.94324746240666,Coffee Shop
63,Central Harlem,40.813687885821395,-73.94473613315995,House Of Seafood,40.81192091273784,-73.9425440011307,Seafood Restaurant
64,Central Harlem,40.813687885821395,-73.94473613315995,Tropical Grill & Restaurant,40.81058282877706,-73.94716996454274,Spanish Restaurant
65,Central Harlem,40.813687885821395,-73.94473613315995,New Amsterdam Musical Association,40.811374,-73.94374599999999,Jazz Club
66,Central Harlem,40.813687885821395,-73.94473613315995,Brazilian Babes,40.814872778355664,-73.9440617622794,Cosmetics Shop
67,Central Harlem,40.813687885821395,-73.94473613315995,Sushi Inoue,40.81034211038753,-73.94372260153362,Sushi Restaurant
68,Central Harlem,40.813687885821395,-73.94473613315995,Crispy Bamboo Village,40.81627823973171,-73.94693839905996,Chinese Restaurant
69,Central Harlem,40.813687885821395,-73.94473613315995,Africa Kine Restaurant,40.8137280306601,-73.94442558288574,African Restaurant
70,Central Harlem,40.813687885821395,-73.94473613315995,Ruby’s Vintage,40.816736,-73.942655,Cocktail Bar
71,Central Harlem,40.813687885821395,-73.94473613315995,Tio Luca Cocina Bistro Latino,40.811648891729824,-73.94283228075125,Tapas Restaurant
72,Central Harlem,40.813687885821395,-73.94473613315995,FIGS BARBERSHOP,40.81637570617639,-73.94664529499558,Spa
73,Central Harlem,40.813687885821395,-73.94473613315995,Make My Cake,40.81733984073678,-73.94492729323323,Dessert Shop
74,Central Harlem,40.813687885821395,-73.94473613315995,Harlem Nights,40.81719783885,-73.94214639619078,Bar
75,Central Harlem,40.813687885821395,-73.94473613315995,Lt Joseph P Kennedy Jr Community Center Gym,40.81260785559189,-73.93969908127347,Gym
76,Central Harlem,40.813687885821395,-73.94473613315995,Harlem Ale House,40.809334,-73.944863,Bar
77,Central Harlem,40.813687885821395,-73.94473613315995,Les Ambassades Senegalais Bistro,40.80924480774686,-73.94467238180226,African Restaurant
78,Central Harlem,40.813687885821395,-73.94473613315995,Pizza Stop,40.815080098326085,-73.94004044021452,Pizza Place
79,Central Harlem,40.813687885821395,-73.94473613315995,Yuzu,40.80949236048141,-73.94424679794078,Sushi Restaurant
80,Central Harlem,40.813687885821395,-73.94473613315995,Hansborough Recreation Center,40.81264914038415,-73.93948866127762,Gym / Fitness Center
81,Central Harlem,40.813687885821395,-73.94473613315995,Foodtown of Frederick Douglass Blvd,40.81467550708393,-73.94815630569936,Market
82,Central Harlem,40.813687885821395,-73.94473613315995,Big Russ Barber Shop,40.81485767292566,-73.94779866478925,Salon / Barbershop
83,Central Harlem,40.813687885821395,-73.94473613315995,Chez Jacob,40.81514358520508,-73.94792938232422,Restaurant
84,Central Harlem,40.813687885821395,-73.94473613315995,Gemini II,40.81458424834373,-73.9495034949479,Women's Store
85,East Harlem,40.79489899905908,-73.9349705972504,Lion Lion,40.79644059716915,-73.9365204946498,Cocktail Bar
86,East Harlem,40.79489899905908,-73.9349705972504,The Love Cafe,40.79455049610639,-73.93379843326545,Café
87,East Harlem,40.79489899905908,-73.9349705972504,Rao's,40.793877078094056,-73.93423985121044,Italian Restaurant
88,East Harlem,40.79489899905908,-73.9349705972504,Yura's Blue Plate,40.79570695580056,-73.93560905265625,Café
89,East Harlem,40.79489899905908,-73.9349705972504,Patsy's Pizza - East Harlem,40.79710819178469,-73.93462555606577,Pizza Place
90,East Harlem,40.79489899905908,-73.9349705972504,Makana Hawaiian & Japanese BBQ Restaurant,40.795568766327925,-73.93572796597071,Hawaiian Restaurant
91,East Harlem,40.79489899905908,-73.9349705972504,FDR Bike/Run/Walk Path,40.793047321383746,-73.93330413181704,Trail
92,East Harlem,40.79489899905908,-73.9349705972504,Thomas Jefferson Park,40.79284072338035,-73.9365188545079,Park
93,East Harlem,40.79489899905908,-73.9349705972504,Evelyn's Kitchen,40.79765197286337,-73.93419510223997,Bakery
94,East Harlem,40.79489899905908,-73.9349705972504,Mountain Bird,40.793851,-73.939942,French Restaurant
95,East Harlem,40.79489899905908,-73.9349705972504,Taco Mix,40.797379989209595,-73.93865825942721,Taco Place
96,East Harlem,40.79489899905908,-73.9349705972504,Milano's Pizzeria,40.796830636156535,-73.9379294466534,Pizza Place
97,East Harlem,40.79489899905908,-73.9349705972504,Sapoara,40.796237799718334,-73.93519021382625,Beer Bar
98,East Harlem,40.79489899905908,-73.9349705972504,Fierce Spa,40.796927524657455,-73.9353477831288,Spa
99,East Harlem,40.79489899905908,-73.9349705972504,East River Wine And Spirits,40.79570561648315,-73.93280476441412,Wine Shop
100,East Harlem,40.79489899905908,-73.9349705972504,Lorenz Latin Dance Studio,40.79365952280243,-73.94024419226427,Dance Studio
101,East Harlem,40.79489899905908,-73.9349705972504,Blue Line Deli & Grocery (Hajji's),40.7921117120659,-73.93824256642792,Deli / Bodega
102,East Harlem,40.79489899905908,-73.9349705972504,Ricardo Steak House,40.793434739595234,-73.94047119574417,Steakhouse
103,East Harlem,40.79489899905908,-73.9349705972504,PetSmart,40.7952735,-73.9306551,Pet Store
104,East Harlem,40.79489899905908,-73.9349705972504,Tres Leches Cafe,40.793496999999995,-73.93781800000001,Bakery
105,East Harlem,40.79489899905908,-73.9349705972504,Santiago’s Beer Garden,40.798565,-73.9339,Latin American Restaurant
106,East Harlem,40.79489899905908,-73.9349705972504,Nocciola Ristorante,40.79737489139285,-73.93846514829416,Italian Restaurant
107,East Harlem,40.79489899905908,-73.9349705972504,GameStop,40.79539789318714,-73.9314671234935,Video Game Store
108,East Harlem,40.79489899905908,-73.9349705972504,Costco,40.795050645675964,-73.93047440570962,Warehouse Store
109,East Harlem,40.79489899905908,-73.9349705972504,Prime One 16,40.79607024489139,-73.93550487952001,Bar
110,East Harlem,40.79489899905908,-73.9349705972504,Women's World of Boxing,40.793549,-73.940495,Gym
111,East Harlem,40.79489899905908,-73.9349705972504,Burlington,40.79506216185212,-73.93075409847201,Clothing Store
112,East Harlem,40.79489899905908,-73.9349705972504,Brothers Bakery & Cafe,40.79378547424904,-73.9401543568426,Bakery
113,East Harlem,40.79489899905908,-73.9349705972504,El Nuevo Caridad,40.796894671543406,-73.93787566469291,Spanish Restaurant
114,East Harlem,40.79489899905908,-73.9349705972504,Target,40.79528590433512,-73.93135683128891,Big Box Store
115,East Harlem,40.79489899905908,-73.9349705972504,7-Eleven,40.796777,-73.9376865,Convenience Store
116,East Harlem,40.79489899905908,-73.9349705972504,La Tropezienne Bakery,40.79197800258682,-73.93828014505316,Bakery
117,East Harlem,40.79489899905908,-73.9349705972504,East River Plaza,40.79540904800862,-73.93135805057715,Shopping Mall
118,East Harlem,40.79489899905908,-73.9349705972504,Tom's Dog Run,40.79239094098775,-73.93516982558431,Dog Run
119,East Harlem,40.79489899905908,-73.9349705972504,La Nostra Pizzeria,40.79312695201179,-73.9404248930157,Pizza Place
120,East Harlem,40.79489899905908,-73.9349705972504,Thomas Jefferson Recreation Center,40.79371648598786,-73.93685754540137,Gym / Fitness Center
121,East Harlem,40.79489899905908,-73.9349705972504,ALDI,40.79545756708304,-73.93091689814759,Supermarket
122,East Harlem,40.79489899905908,-73.9349705972504,Hot Jalapeño,40.79762976547585,-73.93913993308223,Mexican Restaurant
123,East Harlem,40.79489899905908,-73.9349705972504,Paladar Brazilian Bbq,40.793459999999996,-73.937638,Restaurant
124,East Harlem,40.79489899905908,-73.9349705972504,Harlem Shake,40.79383659736653,-73.93999542541836,Burger Joint
125,East Harlem,40.79489899905908,-73.9349705972504,Made In Mexico,40.79403,-73.940304,Mexican Restaurant
126,East Harlem,40.79489899905908,-73.9349705972504,Dunkin',40.79608448862762,-73.93509231655025,Donut Shop
127,East Harlem,40.79489899905908,-73.9349705972504,Applebee's Grill + Bar,40.7955824,-73.93233755,American Restaurant
128,East Harlem,40.79489899905908,-73.9349705972504,Bob's Discount Furniture,40.79524163858957,-73.93064886337015,Furniture / Home Store
129,East Harlem,40.79489899905908,-73.9349705972504,Old Navy,40.79523800899642,-73.93135230986476,Clothing Store
130,East Harlem,40.79489899905908,-73.9349705972504,Taqueria El Barrio,40.79817070130524,-73.93387433055943,Mexican Restaurant
131,East Harlem,40.79489899905908,-73.9349705972504,Subway,40.795363,-73.933226,Sandwich Place
132,East Harlem,40.79489899905908,-73.9349705972504,Wimpy's,40.799252,-73.935765,Burger Joint
133,East Harlem,40.79489899905908,-73.9349705972504,Cassava House,40.796338,-73.93480100000001,Juice Bar
134,East Harlem,40.79489899905908,-73.9349705972504,Ricardo Ocean Grill,40.79873601782449,-73.93655202057077,Spanish Restaurant
135,East Harlem,40.79489899905908,-73.9349705972504,Mattress Firm,40.7955207824707,-73.93106842041016,Mattress Store
136,East Harlem,40.79489899905908,-73.9349705972504,Sandy's Restaurant,40.79701855664365,-73.93795819508722,Spanish Restaurant
137,East Harlem,40.79489899905908,-73.9349705972504,Pizza Hut,40.79536360630717,-73.93126330807263,Pizza Place
138,East Harlem,40.79489899905908,-73.9349705972504,Enterprise Rent-A-Car,40.798298,-73.938722,Rental Car Location
139,East Harlem,40.79489899905908,-73.9349705972504,Fine Fare,40.79827455053425,-73.93367751370468,Supermarket
140,East Harlem,40.79489899905908,-73.9349705972504,Compare Foods,40.795967587886395,-73.93714080390474,Grocery Store
141,East Harlem,40.79489899905908,-73.9349705972504,quesadillas maty,40.79750800015566,-73.93901596837418,Mexican Restaurant
142,East Harlem,40.79489899905908,-73.9349705972504,Shell,40.796804030327685,-73.93453459121025,Gas Station
143,East Harlem,40.79489899905908,-73.9349705972504,Habbi Deli,40.79645706017303,-73.93479094768736,Deli / Bodega
144,East Harlem,40.79489899905908,-73.9349705972504,Caridad Restaurant,40.79536819458008,-73.93321990966797,Food
145,East Harlem,40.79489899905908,-73.9349705972504,La Cabana,40.79677,-73.934769,Mexican Restaurant
146,East Harlem,40.79489899905908,-73.9349705972504,Pleasant Village Community Garden,40.79660887126919,-73.93195867538452,Park
147,East Harlem,40.79489899905908,-73.9349705972504,Xiang Dragon,40.798614,-73.93417099999999,Chinese Restaurant
148,East Harlem,40.79489899905908,-73.9349705972504,Haijis,40.792196999999994,-73.938546,American Restaurant
149,East Harlem,40.79489899905908,-73.9349705972504,J&R Deli Grocery,40.791768901851576,-73.9383500744899,Deli / Bodega
150,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Grito Mexican Grill,40.8536433,-73.93088550000002,Mexican Restaurant
151,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Bodega Pizza,40.85699756101996,-73.93248107951021,Pizza Place
152,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,La Cabana Salvadorena,40.85433401375745,-73.9336768506694,Latin American Restaurant
153,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Wahizza,40.857579,-73.931797,Pizza Place
154,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Tacos El Paisa,40.853318391826384,-73.93076039354918,Mexican Restaurant
155,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Locksmith Bar,40.8573807,-73.9325659,Bar
156,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Buddha Beer Bar,40.85733454519279,-73.93225489351966,Bar
157,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Green Juice Cafe,40.85189793238417,-73.93482699423339,Café
158,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Up Heights,40.855102449879126,-73.929499948001,Coffee Shop
159,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Las Tapas,40.85523384393846,-73.93728400575858,Tapas Restaurant
160,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Fresco's Pizzeria,40.85520157236451,-73.93721648678681,Pizza Place
161,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Kismat Indian Restaurant,40.855221723964846,-73.93696683600031,Indian Restaurant
162,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Josephia's Spa,40.859101,-73.9305,Spa
163,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Altus Cafe,40.85227048549662,-73.93468709744222,Cocktail Bar
164,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Qmart,40.85199915943576,-73.93491489398065,Market
165,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Marisco Centro (Seafood Restaurant & Fish Market),40.85133231436476,-73.9318637321785,Seafood Restaurant
166,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Golan Heights,40.851480745027445,-73.92842230064456,Middle Eastern Restaurant
167,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Dunkin',40.85489940338083,-73.92993304909862,Donut Shop
168,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Subway,40.851752205864,-73.93160322969925,Sandwich Place
169,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Punto de Sabor Restaurant,40.85074,-73.93247,Spanish Restaurant
170,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Frank's Market,40.85533405166097,-73.93716221785515,Grocery Store
171,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Popeyes Louisiana Kitchen,40.855822681118255,-73.92899676429809,Fried Chicken Joint
172,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Dollar Tree,40.857656,-73.93249300000001,Discount Store
173,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Monkey Room,40.854976932654424,-73.93704592998373,Bar
174,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Bunny Deli Inc.,40.851730418116766,-73.92825197432263,Deli / Bodega
175,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Dominican Square,40.852424033529694,-73.93488978196986,Plaza
176,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,No. 1 Restaurant,40.8575259112219,-73.93217977743787,Chinese Restaurant
177,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Grandma's Pizza,40.85148992627484,-73.92831209210959,Pizza Place
178,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Refried Beans Mexican Restaurant,40.85503858399724,-73.93703107149052,Mexican Restaurant
179,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Vicky's Diner,40.85519031985391,-73.93716531922621,Diner
180,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,El Nuevo Caridad,40.85360856334834,-73.92948288271292,Latin American Restaurant
181,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Hertz,40.852022,-73.934332,Rental Car Location
182,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Chase Bank,40.855048539680624,-73.93668159237498,Bank
183,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Wahi Oyster Bar,40.857579,-73.931797,Seafood Restaurant
184,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Dunkin',40.85108201442782,-73.93086964723875,Donut Shop
185,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,187 Fitness,40.85710144042969,-73.93222045898438,Gym
186,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Associated Supermarket,40.854952374810125,-73.93688113944721,Grocery Store
187,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Cabrini Repertory Theatre,40.858131408691406,-73.93559265136719,Theater
188,Washington Heights and Inwood,40.85511154036789,-73.93152455676686,Bennett Rest,40.85774915186381,-73.93305154420426,Park
189,Financial District,40.70728710906335,-74.0121061626045,Rouge Tomate Cart,40.70739001089967,-74.0143447186104,Food Truck
190,Financial District,40.70728710906335,-74.0121061626045,Greenwich St Jewelers,40.70800437019543,-74.0128005461096,Jewelry Store
191,Financial District,40.70728710906335,-74.0121061626045,Physique 57,40.706843676084894,-74.01301424688859,Gym / Fitness Center
192,Financial District,40.70728710906335,-74.0121061626045,Fearless Girl,40.706772,-74.010963,Monument / Landmark
193,Financial District,40.70728710906335,-74.0121061626045,Equinox Wall Street,40.70727326752029,-74.01054311858566,Gym
194,Financial District,40.70728710906335,-74.0121061626045,One Medical,40.706204,-74.011712,Doctor's Office
195,Financial District,40.70728710906335,-74.0121061626045,Neapolitan Express,40.70690829999999,-74.0096853,Pizza Place
196,Financial District,40.70728710906335,-74.0121061626045,9/11 Tribute Museum,40.70799508624903,-74.01370126432805,Museum
197,Financial District,40.70728710906335,-74.0121061626045,The Capital Grille,40.70790272478362,-74.01008616860734,American Restaurant
198,Financial District,40.70728710906335,-74.0121061626045,Manhatta,40.70765446542056,-74.00913779853676,New American Restaurant
199,Financial District,40.70728710906335,-74.0121061626045,Crunch - FiDi,40.708614,-74.010013,Gym / Fitness Center
200,Financial District,40.70728710906335,-74.0121061626045,The Setai Spa Wall Street,40.70613076209745,-74.01141965805377,Spa
201,Financial District,40.70728710906335,-74.0121061626045,Petropolis,40.7079952,-74.0143571,Pet Store
202,Financial District,40.70728710906335,-74.0121061626045,Champs Gourmet Deli,40.706470210885726,-74.0115586671376,Deli / Bodega
203,Financial District,40.70728710906335,-74.0121061626045,For Five Coffee Roasters,40.709554,-74.010576,Coffee Shop
204,Financial District,40.70728710906335,-74.0121061626045,Cipriani,40.70581963688384,-74.01373646769203,Event Space
205,Financial District,40.70728710906335,-74.0121061626045,Eataly Downtown,40.710075,-74.011976,Gourmet Shop
206,Financial District,40.70728710906335,-74.0121061626045,Delmonico's,40.7051528646903,-74.01055116348026,Steakhouse
207,Financial District,40.70728710906335,-74.0121061626045,La Parisienne,40.70942332606939,-74.00999194450296,French Restaurant
208,Financial District,40.70728710906335,-74.0121061626045,&pizza,40.706615,-74.009943,Pizza Place
209,Financial District,40.70728710906335,-74.0121061626045,W New York - Downtown,40.7091366,-74.0136508,Hotel
210,Financial District,40.70728710906335,-74.0121061626045,Cipriani Wall Street,40.7060378788768,-74.00926866051051,Event Space
211,Financial District,40.70728710906335,-74.0121061626045,Trinity Boxing Club,40.70891090598323,-74.0133789212536,Gym
212,Financial District,40.70728710906335,-74.0121061626045,Black Fox Coffee Co.,40.70657289005604,-74.00815534778381,Coffee Shop
213,Financial District,40.70728710906335,-74.0121061626045,Luke's Lobster,40.704488,-74.010915,Seafood Restaurant
214,Financial District,40.70728710906335,-74.0121061626045,William Beaver House,40.705217040131174,-74.01004515691803,Event Space
215,Financial District,40.70728710906335,-74.0121061626045,45 Wall Roof Deck,40.706337259141726,-74.00951257932776,Roof Deck
216,Financial District,40.70728710906335,-74.0121061626045,Pure Liquid Wine & Spirits,40.71008275157545,-74.01179142589295,Wine Shop
217,Financial District,40.70728710906335,-74.0121061626045,Charging Bull,40.7056238715999,-74.01337444782257,Monument / Landmark
218,Financial District,40.70728710906335,-74.0121061626045,Tajin,40.707778056057776,-74.0135068599164,Mexican Restaurant
219,Financial District,40.70728710906335,-74.0121061626045,Taim,40.70772671818465,-74.00826536952118,Falafel Restaurant
220,Financial District,40.70728710906335,-74.0121061626045,Simply Wine,40.708751,-74.009614,Wine Shop
221,Financial District,40.70728710906335,-74.0121061626045,sweetgreen,40.7056257,-74.0082823,Salad Place
222,Financial District,40.70728710906335,-74.0121061626045,Liberty Park,40.71038391621699,-74.01386844682942,Park
223,Financial District,40.70728710906335,-74.0121061626045,La Pasta Fresca,40.709533,-74.012207,Grocery Store
224,Financial District,40.70728710906335,-74.0121061626045,Morton's The Steakhouse,40.70970051946106,-74.01395380496979,Steakhouse
225,Financial District,40.70728710906335,-74.0121061626045,O'Hara's Restaurant & Pub,40.70989378141622,-74.01283563128297,Pub
226,Financial District,40.70728710906335,-74.0121061626045,La Colombe Torrefaction,40.705898810664266,-74.00842129724238,Coffee Shop
